charity_name,campaign_name,donations_count,donation_amount,comments_count
Singapore Red Cross Society,You're The Difference Between An Empty Stomach And a Filled One,47,1591,10
Singapore Red Cross Society,SCDF OPERATION LIONHEART PRESENTS: THE LIFE-SAVING FIGURINES,16,15775,11
Singapore Red Cross Society,Box It Forward with DHL,73,4808,25
Singapore Red Cross Society,Together for Humanity - Grateful Hearts Day 2024,2,115,0
Singapore Red Cross Society,International Bazaar 2023 - One World United in Humanity,124,10536,1
Singapore Red Cross Society,Be Our Champion for Humanity,175,13837.05,6
Singapore Red Cross Society,Championing Humanity with Project Red Blood Cells (RBC),29,2346,4
Singapore Red Cross Society,Sustainable Christmas Market 2024 by Peace of Art,56,19750,15
Singapore Red Cross Society,The Sustainable Christmas Market 2023 by Peace of Art,110,25343,36
Singapore Red Cross Society,70 Years of Serving Humanity - Singapore Red Cross Benefit Gala 2019,33,64100,0
Singapore Red Cross Society,Be Our Champion for Humanity,304,23261,96
Singapore Red Cross Society,Blue Star 2019,56,17308,16
Singapore Red Cross Society,BlueStar 2020 - Be a BlueStar Walker,349,49310,155
Singapore Red Cross Society,Gift your unused petrol spend to feed a hungry family today #wegiveinsolidarity,6,374,1
Singapore Red Cross Society,Raya for Humanity,78,8793,30
Singapore Red Cross Society,Sustainable Kids Market 2024 by Peace of Art,55,28381,11
Singapore Red Cross Society,Soiree Cinematic Movie Fundraiser (June) - Men In Black International,6,2120,2
Singapore Red Cross Society,Blue Star 2019 - Be an Event Sponsor,1,3000,1
Singapore Red Cross Society,Blue Star 2019 - Be a Blue Walker,32,11820,6
Singapore Red Cross Society,Blue Star 2019 - Drive in the Car Rally,22,1565,10
Singapore Red Cross Society,Soiree Cinematic Movie Fundraiser (July) – Spider-Man: Far From Home,11,480,4
Singapore Red Cross Society,Be our GLADiator for Desolate Seniors. Help Defeat Loneliness in 2020.,3,576,1
Singapore Red Cross Society,Gaza Relief Fund Football Tournament,144,20097.1,63
Singapore Red Cross Society,2019 Novel Coronavirus Response,25,2150,12
Singapore Red Cross Society,georges Silver Jubilee Fund Raising,14,1390,6
Singapore Red Cross Society,Centre of Excellence in Pandemic Preparedness,2,11,1
Singapore Red Cross Society, Auction - Singapore Red Cross International Bazaar 2023,3,6198,0
Singapore Red Cross Society,Grateful Hearts Day with Global Tots Preschool,0,0,0
Singapore Red Cross Society,BlueStar 2020,0,0,0
Singapore Red Cross Society,Blue Star 2020 - Be an Event Sponsor,1,50,1
Singapore Red Cross Society,Can You Help Our Local Elderly During This COVID-19 Situation?,141,9169,41
Singapore Red Cross Society,Aura Drapes - Sustainable Kids Market 2024 ,28,514,2
Singapore Red Cross Society,"[WORKSHOP FULLY BOOKED][SUN 26 MAY, 12:15PM] Decoupage Bag Duet!",11,1560,4
Singapore Red Cross Society,(DM) Brightening Days With Love,62,14385,27
Singapore Red Cross Society,"[SUN 26 MAY, 5PM] Crochet Craze: Let's Get Hooked!",12,285,5
Singapore Red Cross Society,"[SUN 26 MAY, 6PM] Crochet Craze: Let's Get Hooked!",7,167,2
Singapore Red Cross Society,"[SUN 26 MAY, 11AM]  Eco-Coasters: Transforming Waste Plastic into Magic",2,150,0
Singapore Red Cross Society,"[SAT 25 MAY, 11AM] Chinese Culture Quest! ",2,100,2
Singapore Red Cross Society,"[SAT 25 MAY, 12PM] Chinese Culture Quest!",2,300,0
Singapore Red Cross Society,"[SAT 25 MAY, 1PM] Chinese Culture Quest!",8,450,3
Singapore Red Cross Society,"[WORKSHOP FULLY BOOKED] [SAT 25 MAY, 11AM] Build My Own Ocean: DIY Sensory Bottles",2,90,1
Singapore Red Cross Society,"[SAT 25 MAY, 12PM] Build My Own Ocean: DIY Sensory Bottles",10,500,6
Singapore Red Cross Society,"[SAT 25 MAY, 6PM] Underwater Discovery: Marine Biodiversity & Me",3,120,0
Singapore Red Cross Society,"[SUN 26 MAY, 4PM] Oceanic Brew: Eco-friendly Whale Collage Workshop",5,250,2
Singapore Red Cross Society,"[SUN 26 MAY, 5PM] Oceanic Brew: Eco-friendly Whale Collage Workshop",4,250,0
Singapore Red Cross Society,"[SAT 25 MAY, 1PM] Fold & Shine! Earrings with Origami",1,80,0
Singapore Red Cross Society,"[SAT 25 MAY, 2PM] Fold & Shine! Earrings with Origami",3,320,1
Singapore Red Cross Society,"Lend a Hand for Humanity, SRC Grateful Hearts 2023",1,200,0
Singapore Red Cross Society,"[SAT 25 MAY, 3PM] Play, Learn & Make with EcoCasting!",10,600,4
Singapore Red Cross Society,"[SUN 26 MAY, 11AM] Play, Learn & Make with EcoCasting!",6,330,4
Singapore Red Cross Society,"[SUN 26 MAY, 2PM] Solar Energy & Me",6,230,3
Singapore Red Cross Society,"[SAT 25 MAY, 2PM] Homemade Fun: A Playdough Workshop",3,100,0
Singapore Red Cross Society,"[SAT 25 MAY, 3PM] Trash to Toys: Eco-Bus Designer",0,0,0
Singapore Red Cross Society,"[SAT 25 MAY, 5PM] Mandala Magic",3,200,0
Singapore Red Cross Society,"[SAT 25 MAY, 6PM] Mandala Magic",2,150,1
Singapore Red Cross Society,"[Urgently Needed] $10,000 for 1,000 Meals To Feed Low-Income Families ",24,1050,6
Singapore Red Cross Society,"[SUN 26 MAY, 4PM] Bioplastics Fantastic!",6,300,1
Singapore Red Cross Society,Singapore Red Cross Humanitarian Response to Cyclone Mocha in Myanmar,1,300,0
Singapore Red Cross Society,"[SUN 26 MAY, 6PM] Bioplastics Fantastic!",1,50,0
Singapore Red Cross Society,"[WORKSHOP FULLY BOOKED] [SAT 25 MAY, 4PM] Zentangle for Everyone",15,260,4
Singapore Red Cross Society,"[WORKSHOP FULLY BOOKED] [SAT 25 MAY, 4PM] Treasured Greeting Cards from Trash",12,600,5
Singapore Red Cross Society,Support Sophy's 39km walk for the BlueStar 2020 Charity Walk,50,1949,21
Singapore Red Cross Society,"[SAT 25 MAY, 5PM] Nature's Prints: Tote Bag Adventure",9,420,3
Singapore Red Cross Society,NUHS Walks In Support of BlueStar 2020 Charity Walk,18,756,3
Singapore Red Cross Society,"[SUN 26 MAY, 1.45PM] Eco-Coasters: Transforming Waste into Plastic Magic",3,150,1
Singapore Red Cross Society,"[SUN 26 MAY, 12PM] Wacky Owl Weaving Workshop",2,150,0
Singapore Red Cross Society,Baker Tilly Walks In Support of BlueStar 2020 Charity Walk,1,28,0
Singapore Red Cross Society,"[SUN 26 MAY, 1PM] Wacky Owl Weaving Workshop",3,150,0
Singapore Red Cross Society,"[SUN 26 MAY, 3PM] EcoBlooms: Crafting with Pressed Flowers",5,225,2
Singapore Red Cross Society,BlueStar - Certis X'mas Cheer 2020,30,1287,13
Singapore Red Cross Society,Clubhouse Closet - Sustainable Kids Market 2024 ,34,2060,10
Singapore Red Cross Society,Hello Kitty Sparkling Rose - Gold,1,128,0
Singapore Red Cross Society,Converging Koncepts - Sustainable Kids Market 2024 ,25,250,3
Singapore Red Cross Society,Cornerstone Sparkling Brut,1,130,0
Singapore Red Cross Society,Rainbow Nanyang Stars - Sustainable Kids Market 2024,90,2770,14
Singapore Red Cross Society,Juno Gin (New Zealand),1,140,0
Singapore Red Cross Society,Flower puff kidz - Sustainable Kids Market 2024,77,1222,8
Singapore Red Cross Society,Vesta Coffee Vodka (New Zealand),1,110,0
Singapore Red Cross Society,Team EvanAva - Sustainable Kids Market 2024,35,189,10
Singapore Red Cross Society,Methodist Girls’ School - Sustainable Kids Market 2024,119,2035,13
Singapore Red Cross Society,Replica of 'The Last Emperor of China',1,210,1
Singapore Red Cross Society,High Five Bees - Sustainable Kids Market 2024,29,454,5
Singapore Red Cross Society,'Spring is Everywhere' by Tina Chen,0,0,0
Singapore Red Cross Society,Love.KS21 - Sustainable Kids Market 2024,49,1308,13
Singapore Red Cross Society,Play Beyond - Sustainable Kids Market 2024,0,0,0
Singapore Red Cross Society,Claypin Studio - Sustainable Kids Market 2024,10,96,3
Singapore Red Cross Society,'A Tortoise and The Mountain',1,70,1
Singapore Red Cross Society,Cookie Planters - Sustainable Kids Market 2024,60,2595,11
Singapore Red Cross Society,Aries Gold x Red Cross RC (RC9004-RG-w),1,125,1
Singapore Red Cross Society,Choc & Cheese by m - Sustainable Kids Market 2024,26,1106,9
Singapore Red Cross Society,Aries Gold x Red Cross RC (RC9004-S-W),1,148,0
Singapore Red Cross Society,Tiny Treasures Charity Club (TTCC) - Sustainable Kids Market 2024,51,1867,7
Singapore Red Cross Society,Truly TL-32C Safe Deposit Box,1,350,0
Singapore Red Cross Society,Singapore Red Cross Evergreen Luncheon Show 2023,9,12218,4
Singapore Red Cross Society,Green Coral Cove - Sustainable Kids Market 2024,86,2086,30
Singapore Red Cross Society,The Tinker Yard - Sustainable Kids Market 2024,43,360,6
Singapore Red Cross Society,QURATIVE - Sustainable Kids Market 2024,24,1252,2
Singapore Red Cross Society,Suds & Scents - Sustainable Kids Market 2024,14,1678,2
Singapore Red Cross Society,2brothersn2sisters - Sustainable Kids Market 2024,0,0,0
Singapore Red Cross Society,Prickly Pots - Sustainable Kids Market 2024,96,2441,17
Singapore Red Cross Society,Sustainable Kids Market 2024 - ART | EXHIBIT & AUCTION,11,4148,0
Singapore Red Cross Society,Help the Vulnerable & Disabled Residents of RCHD,26,1303,10
Singapore Red Cross Society,West Sulawesi Earthquake | South Kalimantan Floods 2021,35,1432,8
Singapore Red Cross Society,Be Our Champion for Humanity,523,42657,6
Singapore Red Cross Society,Gift a Chance to Celebrate this Lunar New Year,0,0,0
Singapore Red Cross Society,Yarn a Thought - Sustainable Kids Market 2024,47,1100,22
Singapore Red Cross Society,Uplift the lives of 100 vulnerable families this Hari Raya!,14,200,3
Singapore Red Cross Society,"[SUN 26 MAY, 3PM] Underwater Discovery: Marine Biodiversity & Me",5,120,0
Singapore Red Cross Society,Afghanistan Drought Relief,3,211,2
Singapore Red Cross Society,Yes! Space - Sustainable Kids Market 2024 ,24,768,5
Singapore Red Cross Society,Public Art Collaborative - Sustainable Kids Market 2024 ,0,0,0
Singapore Red Cross Society,Grateful Hearts Day with Tribecar!,0,0,0
Singapore Red Cross Society,BlueStar Charity Walk 2023,60,2758,21
Singapore Red Cross Society,BlueStar Nightcycle 2023,14,5144,7
Singapore Red Cross Society,Grateful Hearts Day 2024 with Yeo Jia Min,6,650,3
Singapore Red Cross Society,Blessings in a Packet: Gift a Hongbao Today!,73,5381,33
Singapore Red Cross Society,Jean and Ed's Charity Quiz Night,33,2391,15
Singapore Red Cross Society,An Hour with Jean and Ed on CLASS 95,1,1202,0
Singapore Red Cross Society,Together for Humanity [ZALORA x SRC],0,0,0
Singapore Red Cross Society,Golf for Humanity 2024,3,200,0
Singapore Red Cross Society,Celestial Sweets for a Good Cause – Share Love with the Elderly!,205,10057,85
Singapore Red Cross Society,BlueStar Charity Asia: Charity Walk & Cycle 2023,2,100,1
National Arthritis Foundation,Arthritis Hurts - You can help soothe the pain (NAF Mail Donation Appeal),321,33195,24
National Arthritis Foundation,Arthritis is a chronic and painful condition that afflicts even the young,1,10,1
National Arthritis Foundation,NAF Charity Gala 2024,1,50,1
National Arthritis Foundation,Arthritis is debilitating for all ages,24,1136,7
National Arthritis Foundation,NAF Charity Gala Dinner 2019,88,16045,27
National Arthritis Foundation,A Night with Kumar and Friends,71,46738,30
National Arthritis Foundation,Send a Christmas Treat to an Arthritis Patient,5,950,2
National Arthritis Foundation,NAF Charity Golf 2021,2,5235,0
National Arthritis Foundation,"This Hari Raya Haji, Your Giving Matters",1,10,1
National Arthritis Foundation,NAF Charity Gala 2023 ,74,17650,18
National Arthritis Foundation,Ride For Hope,1,30,0
National Arthritis Foundation,Amee Parikh - Support my effort to fight arthritis,2,203,1
National Arthritis Foundation,"Roar into Compassion, Support NAF!",1,28,0
Cerebral Palsy Alliance Singapore,"Just Ten Dollars For Suzy, The Girl With Cerebral Palsy #SYC24",5,361,1
Cerebral Palsy Alliance Singapore,Give Hope to Those with Cerebral Palsy - Tiffany #SYC24,103,4749,52
Cerebral Palsy Alliance Singapore,Help me uplift Children and Adults with Cerebral Palsy - Doreen #SYC24,26,670,8
Cerebral Palsy Alliance Singapore,Make a Difference for Those with Cerebral Palsy - Ee Fang #SYC24,11,395,7
Cerebral Palsy Alliance Singapore,Stand with Children and Adults with Cerebral Palsy - Bala #CPAS24,0,0,0
Cerebral Palsy Alliance Singapore,Offer brighter futures for Children & Adults with Cerebral Palsy! - CPAS HR #SYC24,8,970,3
Cerebral Palsy Alliance Singapore,"Together, we can support children and adults with Cerebral Palsy #SYC24",0,0,0
Cerebral Palsy Alliance Singapore,Let's Make a Difference for Children & Adults with Cerebral Palsy - #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Support Children and Adults with Cerebral Palsy or Multiple Disabilities #CPAS24,126,23137,3
Cerebral Palsy Alliance Singapore,Support Care for people with cerebral palsy! - Nazmi #SYC24,2,140,1
Cerebral Palsy Alliance Singapore,Uplift Children and Adults with Cerebral Palsy - Monica & Shalani #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,"Together, We can support people with Cerebral Palsy - Helen #SYC24",8,680,4
Cerebral Palsy Alliance Singapore,Join Us to Support children and adults with cerebral palsy - Geri #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Provide hope for children with cerebral palsy - Pearlyn #SYC24,4,180,3
Cerebral Palsy Alliance Singapore,Help Us Make a Difference for children with cerebral palsy - Hana and Faezah #SYC24,15,580,7
Cerebral Palsy Alliance Singapore,Be a Hero for children with cerebral palsy - Korine #SYC24,30,1670,15
Cerebral Palsy Alliance Singapore,Give Children and Adults with Cerebral Palsy a Brighter Future #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Your Help Matters for Those with Cerebral Palsy - Hian Kok #SYC24,21,1440,5
Cerebral Palsy Alliance Singapore,Stand with Children and Adults with Cerebral Palsy - Isa #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,"Together, We Can Empower People with Cerebral Palsy - Florence #SYC24",16,2226,11
Cerebral Palsy Alliance Singapore,Improve the Lives of People with Cerebral Palsy - Ain #SYC24,1,40,0
Cerebral Palsy Alliance Singapore,Make a Lasting Impact for Those with Cerebral Palsy #SYC24,10,350,5
Cerebral Palsy Alliance Singapore,Show Your Support for individuals with cerebral palsy - Ang Lui #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Make a Lasting Impact for Those with Cerebral Palsy - Tahirah #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Give Children and Adults with Cerebral Palsy the Help They Need - Hui Qing #SYC24,2,75.5,0
Cerebral Palsy Alliance Singapore,Join us to help Suzy! 💕 #SYC24,32,4000,18
Cerebral Palsy Alliance Singapore,Give Strength and Care to Those with Cerebral Palsy - Syafiqa #SYC24,3,170,1
Cerebral Palsy Alliance Singapore,Dollar Matching: CPAS Charity Dinner 2024,8,1650,3
Cerebral Palsy Alliance Singapore,[Outright Donation] Dollar Matching: CPAS Charity Dinner 2024,15,11550,4
Cerebral Palsy Alliance Singapore,Please Support our Children and Adults with Cerebral Palsy - Jing Kai #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Help me empower our clients with cerebral palsy - Suzanne #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Help us care for people with cerebral palsy - Dion #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Help us transform the lives of children with cerebral palsy #SYC24,13,610,4
Cerebral Palsy Alliance Singapore,Let's provide care for people with cerebral palsy - Jacky #SYC24,0,0,0
Cerebral Palsy Alliance Singapore,Help our adults with cerebral palsy #SYC24,18,910,7
Cerebral Palsy Alliance Singapore,Dollar Matching: Spare Your Change for Suzy 2024 #SYC24,3,85,1
Cerebral Palsy Alliance Singapore,Shades by Stephanie Esther Fam #SYC24,7,1000,2
Cerebral Palsy Alliance Singapore,Reluzzo x CPAS Charity Livestream 2022,1,5,0
Cerebral Palsy Alliance Singapore,Dollar Matching: Celebrate the Year of the Rabbit with CPAS!,4,182,0
Cerebral Palsy Alliance Singapore,Here's to Life: Michelle Chua Quartet Livestream Performance Fundraiser for CPAS,6,165,1
Cerebral Palsy Alliance Singapore,"#StandWithSuzy, The Girl With Cerebral Palsy",0,0,0
Cerebral Palsy Alliance Singapore,Ride for HOPE: Canyon Eastern Singapore Cycling Group supports CPAS! #CPAS24,93,6260,41
Cerebral Palsy Alliance Singapore,Friendship with CPAS #CPAS24,75,8005,48
Cerebral Palsy Alliance Singapore,Help Children and Adults With Cerebral Palsy and Multiple Disabilities #CPAS,8,241,0
Cerebral Palsy Alliance Singapore,Step Into Kayrius' World #AutismAwareness,3,60,1
Cerebral Palsy Alliance Singapore,Dollar Matching: Gift of Hope #GOH,28,4764,4
Cerebral Palsy Alliance Singapore,Don't Forget Us Too: #StandWithSuzy ,15,1140,6
Cerebral Palsy Alliance Singapore,Dough For A Difference #CPAS24,37,6000,19
Cerebral Palsy Alliance Singapore,P.L.A.Y. Your Part for CPAS Charity Livestream powered by Deeda Care,24,3315,10
Cerebral Palsy Alliance Singapore,Support our Work at CPAS,0,0,0
Cerebral Palsy Alliance Singapore,Dollar Matching: CPAS Charity Dinner 2023,18,7002,5
Cerebral Palsy Alliance Singapore,Reluzzo Charity Night In Support of Cerebral Palsy Alliance Singapore (CPAS),60,4450,37
Cerebral Palsy Alliance Singapore,StemCord Webinar For Good Supporting Cerebral Palsy Alliance Singapore (CPAS),30,2814,10
Cerebral Palsy Alliance Singapore,Aerospace Community Help Dreams Take Flight #CerebralPalsySG,16,2620,9
Cerebral Palsy Alliance Singapore,Dough For A Difference #GOH,42,11860,21
Cerebral Palsy Alliance Singapore,[Private Campaign] Art Auction - E-Bridge Hougang Meadow's Gift of Hope to CPAS!,21,2469,3
Cerebral Palsy Alliance Singapore,Here's My Cake and Gifts For Suzy #PledgeYourBirthday,13,580,5
Cerebral Palsy Alliance Singapore,Empower Children and Adults With Cerebral Palsy and Multiple Disabilities ,4,170,2
Cerebral Palsy Alliance Singapore,Dollar Matching: SuperStar Charity Golf & Dinner 2024 #SuperStar2024,10,9238,3
Cerebral Palsy Alliance Singapore,[Outright Donations] SuperStar Charity Golf & Dinner 2024 #SuperStar2024,13,14250,3
Cerebral Palsy Alliance Singapore,[Golf Flights and Dinner] SuperStar Charity Golf & Dinner 2024 #SuperStar2024,5,12400,1
Cerebral Palsy Alliance Singapore,Back To School With Sun Ling #FriendsofSuzy,1,10,1
Cerebral Palsy Alliance Singapore,Improving Physiotherapy Intervention Through Technology #CPASALLIEDHEALTH,1,10,1
Cerebral Palsy Alliance Singapore,Rencontre Musicale - A 2-Piano Recital,37,9279,23
Cerebral Palsy Alliance Singapore,Enable Accessibility Through Assistive Technology #CPASALLIEDHEALTH,2,40,1
Cerebral Palsy Alliance Singapore,Supporting Safe Feeding and Swallowing in PWDs #CPASALLIEDHEALTH,2,100,0
Cerebral Palsy Alliance Singapore,Live Pledging for CPAS Charity Livestream powered by Deeda Care,48,4909,18
Cerebral Palsy Alliance Singapore,Giving a Voice with AAC #CPASALLIEDHEALTH,1,10,1
Cerebral Palsy Alliance Singapore,CPAS Charity Dinner 2022,27,3060,13
Cerebral Palsy Alliance Singapore,Enabling Lives Through Psychology #CPASALLIEDHEALTH,1,10,1
Cerebral Palsy Alliance Singapore,Living Life to The Fullest with Occupational Therapy #CPASALLIEDHEALTH ,1,10,1
Cerebral Palsy Alliance Singapore,Ushering in Change: Support Children with Cerebral Palsy this CNY 2024! #GOH,7,440,1
Cerebral Palsy Alliance Singapore,Step Up with TalentKraft for CPAS #SYC24,65,6335,31
Cerebral Palsy Alliance Singapore,Celebrating My Birthday with Suzy #PledgeYourBirthday,8,350,3
Cerebral Palsy Alliance Singapore,65 Years of Empowering Lives #CPAS65,16,532,2
Animal Lovers League,"Help Armstrong, Ashley & other rescued dogs",80,4542,35
Animal Lovers League,"Help Ashley, Snickers, Brown & other rescues",415,21014,163
Animal Lovers League,Will You Help Us Feed Our Furry Friends?,231,11002,87
Animal Lovers League,The Sick and Infirm at Pets Villa Need Your Help,127,6973,56
Animal Lovers League,Support for Captain Hook and his 500 rescued furfriends #15Shorts,60,2893,30
Animal Lovers League,Help Shelter ALL's Rescues This 2021,370,16871,161
Animal Lovers League,Help Ebony and other rescued animals in need of medical care,34,1485,17
Animal Lovers League,"Help John, Little John, Amber & other rescued animals",0,0,0
Sian Chay Medical Institution,新加坡善济医社 Let's Support Sian Chay Medical Institution,700,68109,189
YMCA of Singapore,Find Your Y: Y Tower Challenge,0,0,0
YMCA of Singapore,Mei Xuan is fundraising for Y Tower Challenge,3,35,1
YMCA of Singapore,YMCA,0,0,0
YMCA of Singapore,River & Vine Koh,61,5700,34
YMCA of Singapore,Support Sharon to do good while breaking a record!,13,900,9
YMCA of Singapore,Joel raising funds for the YMCA Tower Challenge,0,0,0
YMCA of Singapore,All funds raised go to the support of youth-at-risk and youths with special needs at YMCA. ,1,50,1
YMCA of Singapore,Stephen Tower Challenge - Youth at risk & w Special needs,0,0,0
YMCA of Singapore,Inclusivity Through the HeART of Food,0,0,0
YMCA of Singapore,YMCA Tower Challenge ~ @chekmyfit,13,1588,9
YMCA of Singapore,Find Your Y: Inclusive Challenge,0,0,0
YMCA of Singapore,JOIN XIN & NING IN A GOOD CAUSE.,11,700,5
YMCA of Singapore,JOIN ZHUCHENG & NING IN FUNDRAISING FOR A GOOD CAUSE.,6,360,4
YMCA of Singapore,JOIN MOM AND I FOR A GOOD CAUSE.,12,858,8
YMCA of Singapore,Fund raising for Y Tower Challenge,6,310,5
YMCA of Singapore,Help Khim conquer the Y Tower Challenge!,0,0,0
YMCA of Singapore,Find Your Y: Stronger Together Carnival ,0,0,0
YMCA of Singapore,Khim & Sham for Y Tower Challenge,0,0,0
YMCA of Singapore,"Fund Raising for STEPS to ""Find Your Y for Y Tower Challenge""",0,0,0
YMCA of Singapore,Ren's Tower Challenge - Raising the next generation!,0,0,0
YMCA of Singapore,Support Team Y-Cuts to climb for youths,1,20,0
YMCA of Singapore,Priscilla fundraising for Y Tower Challenge,5,125,2
YMCA of Singapore,For YMCA Tower Challenge,0,0,0
YMCA of Singapore,Swing for Good: YMCA 24th Charity Golf 2024,22,50420,7
YMCA of Singapore,JOIN JORDAN & NING FOR A GOOD CAUSE.,0,0,0
YMCA of Singapore,FOR THE YOUTHS WE CARE ABOUT. ,0,0,0
YMCA of Singapore,Finding our Y!,0,0,0
YMCA of Singapore,"JOIN JOEL, KHIM & NING TO RAISE FUNDS FOR YOUTHS IN NEED.",0,0,0
YMCA of Singapore,JUDAH & NING LOVES OUR YOUTHS. ,0,0,0
YMCA of Singapore,ALL 4 THE YOUTHS.,0,0,0
YMCA of Singapore,"BECAUSE KHIM, JUDAH & NING WANT TO DO GOOD, AND WE NEED YOU. ",0,0,0
YMCA of Singapore,JOIN JOEL & NING TO DO GOOD. ,0,0,0
YMCA of Singapore,Join Joel & Khim in supporting our youths!,0,0,0
YMCA of Singapore,Do it for the youth!!,0,0,0
YMCA of Singapore,Support Mei Ling's Find Your Y,0,0,0
YMCA of Singapore,Support Ans & special youths Hike 100Km!,1,100,1
YMCA of Singapore,JOIN MEAGAN & NING TO RAISE FUNDS FOR YOUTHS.,1,50,0
YMCA of Singapore,Judah for Tower Challenge,11,860,6
YMCA of Singapore,YMCA Charity Movie 2024: Give a Gift to Youth-At-Risk,34,5002,11
YMCA of Singapore,"Spark Joy, Spread Love: YMCA Year End Donation Drive",0,0,0
YMCA of Singapore,JOIN MEAGAN & NING TO DO GOOD. ,0,0,0
YMCA of Singapore,Swing for Good: YMCA 23rd Charity Golf 2023,4,300,0
YMCA of Singapore,YMCA Special Needs Inclusive Challenge,46,15496,3
YMCA of Singapore,YMCA Giving Gala 2023,22,54160,5
YMCA of Singapore,YMCA x Prestige Partners,96,16722,32
APSN Ltd.,Double Up for Good,0,0,0
APSN Ltd.,Building a Brighter Future,0,0,0
APSN Ltd.,APSN Charity Fashion Gala 2023,0,0,0
APSN Ltd.,Achieving Possibilities,1,2,0
